0.9216,0.9349,0.9482,0.9465,0.9551,0.9550,0.9594,0.9565,0.9581,0.9509,0.9495,0.9514,0.9210,0.8905,0.8888,0.8881,0.8874,0.8717,0.8715,0.8684,0.8614,0.8467,0.8321,0.8295,0.8282,0.8243,0.8094,0.8193,0.7993,0.8205,0.8545,0.8284,0.8022,0.8250,0.8215
0.9286,0.9397,0.9509,0.9508,0.9576,0.9588,0.9620,0.9620,0.9598,0.9540,0.9514,0.9535,0.9260,0.8985,0.8996,0.8978,0.8961,0.8793,0.8802,0.8776,0.8708,0.8544,0.8381,0.8350,0.8336,0.8323,0.8190,0.8276,0.8081,0.8239,0.8657,0.8381,0.8106,0.8356,0.8284
0.9337,0.9438,0.9540,0.9538,0.9596,0.9601,0.9646,0.9641,0.9629,0.9556,0.9541,0.9557,0.9290,0.9023,0.9086,0.9056,0.9027,0.8876,0.8890,0.8836,0.8778,0.8603,0.8429,0.8409,0.8382,0.8368,0.8273,0.8328,0.8123,0.8301,0.8768,0.8468,0.8169,0.8432,0.8343
0.9374,0.9461,0.9548,0.9552,0.9610,0.9600,0.9650,0.9648,0.9644,0.9559,0.9551,0.9556,0.9300,0.9043,0.9150,0.9110,0.9071,0.8945,0.8962,0.8878,0.8826,0.8644,0.8462,0.8462,0.8420,0.8396,0.8336,0.8364,0.8150,0.8360,0.8859,0.8542,0.8226,0.8487,0.8382
0.9408,0.9480,0.9553,0.9539,0.9621,0.9585,0.9653,0.9645,0.9654,0.9549,0.9560,0.9557,0.9308,0.9060,0.9168,0.9130,0.9092,0.8991,0.9002,0.8920,0.8850,0.8668,0.8487,0.8517,0.8470,0.8416,0.8372,0.8380,0.8186,0.8425,0.8911,0.8610,0.8309,0.8509,0.8388
0.9433,0.9491,0.9549,0.9509,0.9626,0.9586,0.9656,0.9658,0.9656,0.9543,0.9567,0.9555,0.9315,0.9075,0.9159,0.9133,0.9108,0.9003,0.9040,0.8963,0.8878,0.8686,0.8494,0.8545,0.8509,0.8431,0.8392,0.8410,0.8238,0.8458,0.8931,0.8658,0.8385,0.8553,0.8400
0.9444,0.9491,0.9538,0.9478,0.9623,0.9589,0.9652,0.9667,0.9651,0.9538,0.9569,0.9547,0.9316,0.9085,0.9140,0.9130,0.9119,0.9007,0.9063,0.9001,0.8900,0.8698,0.8496,0.8565,0.8532,0.8443,0.8400,0.8442,0.8297,0.8476,0.8936,0.8694,0.8451,0.8588,0.8419
0.9426,0.9477,0.9529,0.9468,0.9610,0.9598,0.9646,0.9653,0.9643,0.9548,0.9572,0.9545,0.9321,0.9096,0.9138,0.9143,0.9147,0.9034,0.9050,0.9031,0.8917,0.8709,0.8501,0.8581,0.8517,0.8457,0.8410,0.8489,0.8366,0.8480,0.8946,0.8723,0.8500,0.8590,0.8477
0.9397,0.9455,0.9513,0.9461,0.9590,0.9607,0.9634,0.9631,0.9627,0.9557,0.9570,0.9540,0.9321,0.9102,0.9140,0.9157,0.9173,0.9061,0.9034,0.9053,0.8929,0.8718,0.8507,0.8591,0.8498,0.8471,0.8418,0.8530,0.8419,0.8478,0.8950,0.8742,0.8534,0.8583,0.8540
0.9368,0.9430,0.9492,0.9449,0.9564,0.9606,0.9617,0.9616,0.9607,0.9570,0.9564,0.9532,0.9312,0.9092,0.9154,0.9165,0.9175,0.9090,0.9046,0.9062,0.8941,0.8731,0.8521,0.8600,0.8505,0.8494,0.8418,0.8557,0.8432,0.8477,0.8954,0.8748,0.8542,0.8578,0.8602
